state,transaction_year,quater,districts,transaction_count,transaction_amount
meghalaya,2018,3,east khasi hills,54015,111173160.3
meghalaya,2018,3,west garo hills,17911,31488596.44
meghalaya,2018,3,ribhoi,13023,26072883.3
meghalaya,2018,3,east jaintia hills,11397,22683448.87
meghalaya,2018,3,west jaintia hills,3240,4571330.12
meghalaya,2018,3,south west garo hills,2740,4294444.448
meghalaya,2018,3,north garo hills,2271,1976480.206
meghalaya,2018,3,south garo hills,2110,2467349.257
meghalaya,2018,3,east garo hills,1323,1963470.781
meghalaya,2018,3,west khasi hills,1228,2146208.197
meghalaya,2018,3,East Khasi Hills,11883,14458549.38
meghalaya,2018,3,East Khasi Hills,11765,25835260.86
meghalaya,2018,3,Jaintia Hills,7878,14188319.58
meghalaya,2018,3,Ri Bhoi,7087,13434015.06
meghalaya,2018,3,West Garo Hills,4254,7160224.868
meghalaya,2018,3,East Khasi Hills,4002,10857672.01
meghalaya,2018,3,West Garo Hills,3971,6539166.436
meghalaya,2018,3,West Garo Hills,3734,6456455.718
meghalaya,2018,3,East Khasi Hills,3724,8621736.17
meghalaya,2018,3,East Khasi Hills,2921,3690909.015
meghalaya,2018,4,east khasi hills,70386,167808906.8
meghalaya,2018,4,west garo hills,29000,52674487.37
meghalaya,2018,4,east jaintia hills,20614,37885027.67
meghalaya,2018,4,ribhoi,18294,42066652.87
meghalaya,2018,4,west jaintia hills,4693,7562803.761
meghalaya,2018,4,north garo hills,4011,4590211.26
meghalaya,2018,4,south west garo hills,3950,4531236.408
meghalaya,2018,4,south garo hills,3037,6001319.097
meghalaya,2018,4,west khasi hills,2821,5962239.03
meghalaya,2018,4,east garo hills,2808,5832920.484
meghalaya,2018,4,East Khasi Hills,15970,40796934.65
meghalaya,2018,4,East Khasi Hills,14358,28490192.39
meghalaya,2018,4,Jaintia Hills,10538,23552874.57
meghalaya,2018,4,West Garo Hills,9404,14388348.38
meghalaya,2018,4,Ri Bhoi,9221,21905952.47
meghalaya,2018,4,Jaintia Hills,7828,6620807.693
meghalaya,2018,4,West Garo Hills,6102,11176948.68
meghalaya,2018,4,East Khasi Hills,5184,13068701.78
meghalaya,2018,4,West Garo Hills,5179,10377005.14
meghalaya,2018,4,East Khasi Hills,4851,13033139.82
meghalaya,2018,2,east khasi hills,33966,61180700.48
meghalaya,2018,2,west garo hills,10651,19685429.15
meghalaya,2018,2,ribhoi,8761,14181827.92
meghalaya,2018,2,east jaintia hills,6004,13059945.84
meghalaya,2018,2,west jaintia hills,2232,2312980.333
meghalaya,2018,2,south west garo hills,1767,1724404.675
meghalaya,2018,2,north garo hills,1403,1278347.188
meghalaya,2018,2,south garo hills,1103,1553253.932
meghalaya,2018,2,east garo hills,832,1032161.169
meghalaya,2018,2,west khasi hills,742,684129.9553
meghalaya,2018,2,East Khasi Hills,7159,14913054.71
meghalaya,2018,2,East Khasi Hills,6136,10310363.43
meghalaya,2018,2,Ri Bhoi,5129,7424696.232
meghalaya,2018,2,Jaintia Hills,4566,9791290.934
meghalaya,2018,2,West Garo Hills,2982,4358257.117
meghalaya,2018,2,West Garo Hills,2973,5665655.61
meghalaya,2018,2,East Khasi Hills,2765,4038235.734
meghalaya,2018,2,East Khasi Hills,2668,3708245.668
meghalaya,2018,2,East Khasi Hills,2396,5164910.263
meghalaya,2018,2,West Garo Hills,1990,3441094.526
meghalaya,2018,1,east khasi hills,23283,31807959.18
meghalaya,2018,1,west garo hills,7660,9199200.849
meghalaya,2018,1,ribhoi,6029,8736566.954
meghalaya,2018,1,east jaintia hills,4896,8299361.376
meghalaya,2018,1,west jaintia hills,3131,2812937.948
meghalaya,2018,1,west khasi hills,1079,1647761.337
meghalaya,2018,1,north garo hills,922,652554.6655
meghalaya,2018,1,south west garo hills,798,1015597.235
meghalaya,2018,1,east garo hills,749,781579.3759
meghalaya,2018,1,south garo hills,705,807410.0407
meghalaya,2018,1,East Khasi Hills,6326,6240111.072
meghalaya,2018,1,East Khasi Hills,5245,8652691.778
meghalaya,2018,1,Ri Bhoi,3563,4766271.02
meghalaya,2018,1,Jaintia Hills,3343,5290588.53
meghalaya,2018,1,West Garo Hills,2197,2975311.229
meghalaya,2018,1,West Garo Hills,1873,1540690.026
meghalaya,2018,1,Jaintia Hills,1551,1429788.423
meghalaya,2018,1,East Khasi Hills,1549,2521411.524
meghalaya,2018,1,West Garo Hills,1494,1672332.214
meghalaya,2018,1,West Garo Hills,1448,2307282.756
meghalaya,2021,3,east khasi hills,475308,1267820067
meghalaya,2021,3,west garo hills,207635,550868915.2
meghalaya,2021,3,ribhoi,135524,337135306.8
meghalaya,2021,3,east jaintia hills,103142,254116660
meghalaya,2021,3,west jaintia hills,37590,71888903.26
meghalaya,2021,3,north garo hills,30790,56346103.94
meghalaya,2021,3,east garo hills,29654,54695590.92
meghalaya,2021,3,south west garo hills,28662,59140851.36
meghalaya,2021,3,south garo hills,23378,50417337.28
meghalaya,2021,3,west khasi hills,17524,45708478
meghalaya,2021,3,East Khasi Hills,207464,530904907.2
meghalaya,2021,3,Jaintia Hills,66079,138267841.7
meghalaya,2021,3,Ri Bhoi,65749,174667201.9
meghalaya,2021,3,West Garo Hills,55480,120467614.2
meghalaya,2021,3,West Garo Hills,50251,166891324.2
meghalaya,2021,3,East Khasi Hills,43791,129825349.2
meghalaya,2021,3,West Garo Hills,35755,91612880.48
meghalaya,2021,3,West Garo Hills,33796,92968033.62
meghalaya,2021,3,East Khasi Hills,33163,80876112.09
meghalaya,2021,3,Ri Bhoi,30417,68272870.04
meghalaya,2021,4,east khasi hills,602012,1647841436
meghalaya,2021,4,west garo hills,261543,746098768.1
meghalaya,2021,4,ribhoi,210094,495239611.1
meghalaya,2021,4,east jaintia hills,140522,371541323.5
meghalaya,2021,4,west jaintia hills,43460,98276171.06
meghalaya,2021,4,north garo hills,38565,88113799.76
meghalaya,2021,4,east garo hills,37744,79675265.12
meghalaya,2021,4,south west garo hills,35153,76249072.06
meghalaya,2021,4,west khasi hills,29960,108595108.9
meghalaya,2021,4,south garo hills,28989,89662812.04
meghalaya,2021,4,East Khasi Hills,263013,690414224.2
meghalaya,2021,4,Ri Bhoi,117054,278722454.7
meghalaya,2021,4,Jaintia Hills,87932,196204865.7
meghalaya,2021,4,West Garo Hills,73841,191081991.3
meghalaya,2021,4,West Garo Hills,71698,231647775.4
meghalaya,2021,4,East Khasi Hills,54401,172263562.3
meghalaya,2021,4,West Garo Hills,42891,119992937.3
meghalaya,2021,4,East Khasi Hills,39907,101569097.1
meghalaya,2021,4,Ri Bhoi,39688,91336742.41
